年,月,最高,最低,收盤,成交量(千股),成交金額,市值,報酬率%
106,1,36.40,34.50,35.40,31917,2721390170,76869874,2.08
106,2,38.80,34.95,37.26,65146,6740662860,180881093,4.89
106,3,38.90,36.30,37.81,63977,5696277391,150633299,4.07
106,4,37.50,35.05,36.15,41508,3529929646,97634445,2.64
106,5,35.40,34.00,34.68,39171,3237401123,93336809,2.52
106,6,35.25,33.50,34.44,45700,3276390039,95112814,2.57
106,7,36.25,34.35,35.35,49194,5105916866,144413254,3.91
106,8,35.25,34.00,34.61,40906,4618804529,133430304,3.61
106,9,34.75,33.60,33.97,40541,4792005296,141029039,3.81
106,10,34.20,33.40,33.74,29037,2599778179,77046521,2.08
106,11,34.95,33.35,33.94,54347,6173410136,181874412,4.28
106,12,36.80,33.55,34.84,62698,7155350227,205323751,4.83
107,1,38.65,36.05,37.63,97196,11638083021,309205380,7.28
107,2,38.00,34.80,36.41,42243,4233580868,116258914,2.73
107,3,37.70,36.15,36.98,50540,4368209773,118098573,2.78
107,4,41.00,36.20,39.28,81557,7568635742,192665900,4.53
107,5,47.30,39.15,43.59,156367,19825563053,454781436,10.70
107,6,45.70,41.80,44.18,121996,14225859571,321968831,7.58
107,7,45.70,39.10,42.03,170646,27789139405,661105136,15.56
107,8,43.70,39.55,41.68,191261,28028545470,672328076,13.16
107,9,42.15,36.95,39.95,129742,14392600776,360180185,7.05
107,10,41.90,32.90,36.79,149066,14762129673,401209992,7.85
107,11,37.20,32.70,34.93,142247,13382405716,383015019,7.49
107,12,36.20,34.35,35.38,94114,9289553056,262507949,5.13
108,1,37.50,34.90,36.10,86121,8743328057,242142371,4.74
108,2,39.45,36.85,38.03,73907,8098686850,212903670,4.16
108,3,41.70,37.60,39.33,145654,16191871150,411630273,8.05
108,4,42.55,40.55,41.77,137863,17511731067,419158794,8.20
108,5,43.15,41.20,42.43,129257,16883194186,397841627,7.78
108,6,46.10,42.60,44.47,124696,14791324742,332544479,6.51
108,7,46.60,43.85,45.09,148200,18845826678,417886427,8.18
108,8,44.55,37.05,40.54,140841,16466426900,406089520,7.94
108,9,40.25,38.05,39.58,105118,11115030172,280817973,5.13
108,10,41.75,38.65,40.35,130428,14106020642,349571889,6.39
108,11,42.90,40.30,41.53,111779,14407780654,346875449,6.34
108,12,43.90,41.20,42.62,83429,10856704361,254697121,4.65
109,1,45.00,41.60,43.54,97319,13093111024,300711234,5.50
109,2,43.80,40.10,42.59,92199,11792545035,276826168,5.06
109,3,43.30,33.35,38.93,177354,19339377302,496661386,9.08
109,4,43.35,38.50,41.45,115609,11364884381,274174274,5.01
109,5,43.45,41.60,42.71,114125,12312140720,288246055,5.27
109,6,44.15,42.45,43.13,145478,13136072693,304563028,5.57
109,7,45.80,42.70,44.85,145790,18949268476,422422530,7.72
109,8,47.55,40.85,44.15,226109,25901168634,586660259,10.73
109,9,43.20,40.00,41.92,148766,15881325038,378801373,6.60
109,10,41.65,40.15,40.67,79797,7665468818,188477764,3.28
109,11,43.60,40.45,42.32,114956,14219929133,335942583,5.85
109,12,44.05,42.50,43.16,119992,13381055684,310003973,5.34
110,1,43.50,40.15,41.64,185895,17431586700,418560254,7.20
110,2,42.90,40.30,41.52,103379,10972837552,264252087,4.50
110,3,46.90,42.05,44.35,225080,25967080432,585469796,9.93
110,4,58.70,46.60,52.17,464136,56471412828,1082392985,18.16
110,5,53.90,47.25,50.52,378582,44347231154,877707802,14.48
110,6,52.40,50.40,51.28,143864,15818339904,308441958,5.09
110,7,53.80,50.50,51.96,215742,26313837211,506374308,8.26
110,8,54.50,45.65,49.70,250319,29667862465,596907594,9.74
110,9,52.00,47.70,50.22,157473,17509058881,348637130,5.69
110,10,51.00,48.00,49.31,141028,13448558702,272706044,4.45
110,11,49.05,45.95,47.72,210695,14392269075,301543103,4.92
110,12,48.25,46.00,47.18,115914,10621942851,225112583,3.67
111,1,48.15,46.55,47.30,114960,8784177814,185692397,3.03
111,2,47.85,46.00,47.17,102457,6980114557,147972835,2.41
111,3,50.20,46.85,48.52,174642,13902970470,286518090,4.67
111,4,50.20,45.50,47.13,200682,16873387541,357953978,5.84
111,5,45.90,40.80,42.38,236841,20687185310,488065884,7.96
111,6,42.70,38.85,40.27,205227,16348384998,405947791,6.62
111,7,42.20,37.50,39.82,214056,16602735020,416891690,6.80
111,8,40.00,38.20,39.14,199148,13286634614,339426283,5.03
111,9,40.00,33.60,37.40,323251,27604968449,737913753,10.95
111,10,34.50,29.80,32.20,251861,21222567897,658905710,9.20
111,11,34.70,30.10,32.90,288717,22898052051,695809844,9.72
111,12,34.80,33.00,33.88,225999,22996358445,678743765,9.48
112,1,37.25,33.30,35.54,146382,10451691269,294002904,4.10
112,2,39.70,36.00,37.82,184020,14094956482,372611177,5.20
112,3,38.85,36.05,37.10,255119,16497162551,444559864,6.21
112,4,39.80,36.20,38.22,234124,18486581260,483677720,6.75
112,5,40.25,37.15,38.43,298682,23329379781,607039523,8.48
112,6,39.25,37.75,38.48,171185,12882475451,334764310,4.67
112,7,38.30,36.00,37.04,220039,14052373888,379310525,5.30
112,8,37.80,34.95,35.80,187555,15131531746,422581273,5.90
112,9,35.50,32.90,34.17,240476,16488836150,482513445,6.74
112,10,34.15,31.35,32.31,235705,16840379020,521117568,6.90
112,11,35.50,32.00,33.57,213936,20141926905,599896920,7.94
112,12,35.05,34.00,34.48,134423,8790668700,254914623,3.37
113,1,34.85,31.80,32.94,143849,8126974567,246677741,3.26
113,2,32.90,31.80,32.18,111382,5911880755,183669786,2.43
113,3,32.30,30.80,31.67,197197,11016979165,347758203,4.60
113,4,33.60,31.75,32.38,186796,13305816429,410801856,5.44
113,5,34.40,32.10,33.39,221703,16245528943,486417349,6.44
113,6,34.75,32.65,33.81,139190,10591832110,313182680,4.14
113,7,35.20,33.40,34.35,188230,13365949038,389103569,5.15
113,8,34.80,32.50,33.48,182579,12709771741,379570218,5.02
113,9,34.20,31.20,32.39,130144,8527470689,263250669,3.48
113,10,34.00,31.75,32.70,100277,6142906518,187848849,2.48
113,11,34.20,31.70,33.05,133254,10213305649,308998084,4.09
113,12,34.00,31.40,32.73,113769,6971007575,212952947,2.82
114,1,32.00,30.05,31.15,79750,4937484366,158471022,2.09
114,2,35.35,30.85,33.60,208666,13974344504,415810721,5.50
114,3,35.45,32.00,33.81,195747,14618578031,432351225,5.72
